SiteN,State,Lat,Long,DO,pH,avg_WW,avg_Depth,pflow_Pool,pflow_Run,pflow_Riffle,pbottom_Mud,pbottom_Sand,pbottom_SmGravel,pbottom_LgGravel,pbottom_Cobble,pbottom_Boulder,pbottom_Bedrock,pfloat_macrophytes ,pfloat_wood ,upstreamCumDA_km2,slopePercent,avgMonthFlow_cfs,CV_flow,maxMonthFlow_cfs,minMonthFlow_cfs,Ameiurus,Aphredoderus,Aplodinotus,Campostoma,Cyprinella,Cyprinus,Dorosoma,Ellasoma,Erimyzon,Esox,Etheostoma,Fundulus,Gambusia,Ictalurus,Labidesthes,Lepisosteus,Lepomis,Lythrus,Macrohybopsis,Micropterus,Minytrema,Moxostoma,Nototropis,Notemigonus,Notropis,Noturus,Percina,Phenocobius,Pimephales,Semotilus,t_population,t_species,burn_mean,burn_median,burn_sd,burn_min,burn_max,burn_range,burn_cv,burn_trend,dfm1000hr_mean,dfm1000hr_median,dfm1000hr_sd,dfm1000hr_min,dfm1000hr_max,dfm1000hr_range,dfm1000hr_cv,dfm1000hr_trend,dfm100hr_mean,dfm100hr_median,dfm100hr_sd,dfm100hr_min,dfm100hr_max,dfm100hr_range,dfm100hr_cv,dfm100hr_trend,energy_ERC_mean,energy_ERC_median,energy_ERC_sd,energy_ERC_min,energy_ERC_max,energy_ERC_range,energy_ERC_cv,energy_ERC_trend,maxT_mean,maxT_median,maxT_sd,maxT_min,maxT_max,maxT_range,maxT_cv,maxT_trend,maxRelH_mean,maxRelH_median,maxRelH_sd,maxRelH_min,maxRelH_max,maxRelH_range,maxRelH_cv,maxRelH_trend,vaporDeficit_mean,vaporDeficit_median,vaporDeficit_sd,vaporDeficit_min,vaporDeficit_max,vaporDeficit_range,vaporDeficit_cv,vaporDeficit_trend,minT_mean,minT_median,minT_sd,minT_min,minT_max,minT_range,minT_cv,minT_trend,minRelH_mean,minRelH_median,minRelH_sd,minRelH_min,minRelH_max,minRelH_range,minRelH_cv,minRelH_trend,specificH_mean,specificH_median,specificH_sd,specificH_min,specificH_max,specificH_range,specificH_cv,specificH_trend,precipitation_mean,precipitation_median,precipitation_sd,precipitation_min,precipitation_max,precipitation_range,precipitation_cv,precipitation_trend,alfalfa_mean,alfalfa_median,alfalfa_sd,alfalfa_min,alfalfa_max,alfalfa_range,alfalfa_cv,alfalfa_trend,grass_mean,grass_median,grass_sd,grass_min,grass_max,grass_range,grass_cv,grass_trend,sunshine_mean,sunshine_median,sunshine_sd,sunshine_min,sunshine_max,sunshine_range,sunshine_cv,sunshine_trend,windDirection_mean,windDirection_median,windDirection_sd,windDirection_min,windDirection_max,windDirection_range,windDirection_cv,windDirection_trend,windSpeed_mean,windSpeed_median,windSpeed_sd,windSpeed_min,windSpeed_max,windSpeed_range,windSpeed_cv,windSpeed_trend,palmer_p_mean,palmer_p_median,palmer_p_sd,palmer_p_min,palmer_p_max,palmer_p_range,palmer_p_cv,palmer_p_trend,palmer_z_mean,palmer_z_median,palmer_z_sd,palmer_z_min,palmer_z_max,palmer_z_range,palmer_z_cv,palmer_z_trend
25,TX,33.511,-94.138,10.2,7.1,4.8,39.66667,50,33.33333,16.66667,75.8,0,12.5,9.2,2.5,0,0,100,16.66666667,149.886,0.03,71.87583333,0.78548257,168.45,12.64,0,3,0,0,0,0,0,0,0,0,1,43,23,0,19,0,23,1,0,1,1,0,0,0,0,0,3,0,0,0,118,10,23.62694064,23.05,8.496053623,2.3,59.4,57.1,0.359591779,0.006488851,18.26528539,18.33,2.392777858,8.57,25.05,16.48,0.131001395,-0.001685011,16.46902968,16.49,2.877225102,6.12,25.21,19.09,0.174705199,-0.001606316,25.78710046,25.2,8.975179132,2.5,71.9,69.4,0.348049179,0.006350669,289.4406507,291.075,11.23806727,258.81,314.48,55.67,0.038826845,0.001030538,89.43889269,90.585,7.2682148,52.4,100,47.6,0.081264588,-0.007538364,0.638294521,0.6065,0.460347509,0.035,3.877,3.842,0.721214884,0.000114768,277.5302397,278.095,10.60179338,249.3,297.11,47.81,0.038200498,0.001276129,45.91512557,45.86,10.27395662,14.5,79.89,65.39,0.223759741,-0.00080708,0.0067393,0.0055075,0.004244427,0.000728,0.017788,0.01706,0.62980237,2.21E-08,2.545525114,1.61,2.828083975,0,16.68,16.68,1.111002189,0.000369434,4.271643836,4.405,2.380457544,0.39,15.51,15.12,0.557269668,0.000484133,3.133755708,3.11,1.852889248,0.27,10.68,10.41,0.591267929,0.000306826,176.5418721,183.225,73.76778909,55.93,312.21,256.28,0.417848685,0.004828617,193.4280822,194.65,41.16842881,51.4,308.9,257.5,0.212835842,-0.014844286,4.752819635,4.76,0.780058199,2.63,7.09,4.46,0.164125353,0.000213039,4.972031963,4,2.556008407,0,10,10,0.514077228,0.002084597,5.001712329,5,1.493802811,0,10,10,0.298658282,0.000378327
26,TX,33.503,-94.415,4.3,6.8,4.15833,21.25,16.66667,66.66666667,16.66667,81.7,0,2.5,2.1,0.4,13.3,0,33.33333,50,33.553,0.19,14.865,0.7569679,31.85,2.71,0,3,0,0,0,0,0,0,0,1,0,0,166,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,186,5,23.80901826,23,8.647061076,0.1,57.9,57.8,0.363184277,0.007770116,18.2952968,18.28,2.412888297,8.51,24.99,16.48,0.131885715,-0.001307445,16.53874429,16.51,2.927974002,6.07,25.55,19.48,0.177037262,-0.00127504,25.65308219,25.1,9.021034633,2.3,72.2,69.9,0.351655001,0.005598651,289.3322717,290.87,11.31191886,258.15,314.63,56.48,0.039096637,0.000691099,89.79756849,90.915,7.154765688,51.61,100,48.39,0.079676608,-0.006276605,0.634608447,0.595,0.464157398,0.03,3.929,3.899,0.731407531,6.79E-05,277.347911,277.855,10.65326471,249.05,297.23,48.18,0.038411195,0.000982881,45.90840183,45.785,10.61058806,14.51,80.6,66.09,0.231125189,-4.78E-05,0.006726318,0.0055105,0.004235885,0.000727,0.017211,0.016484,0.629747953,4.91E-08,2.463150685,1.585,2.747908691,0,17.72,17.72,1.115607221,0.000336684,4.290913242,4.375,2.430206192,0.34,15.97,15.63,0.566361065,0.000325005,3.143915525,3.1,1.882248021,0.26,10.95,10.69,0.598695482,0.000212339,177.0832192,181.235,73.73841743,57.5,313.28,255.78,0.416405449,0.004925814,192.3333333,193.55,41.25750059,51.3,311.2,259.9,0.214510402,-0.013308405,4.86423516,4.89,0.808777184,2.69,7.26,4.57,0.166270165,0.000217529,4.947488584,4,2.575256443,0,10,10,0.520517915,0.002123044,4.968607306,5,1.486578732,0,10,10,0.299194249,0.000368509
27,TX,33.565,-94.555,4.7,6.95,4.2,41,33.33333,66.66667,0,100,0,0,0,0,0,0,50,100,51.67,0.14,23.93916667,0.710031978,48.17,4.86,1,2,0,0,0,0,0,1,0,0,1,7,92,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,112,7,23.9173516,23.3,8.587579718,0.1,57.7,57.6,0.359052284,0.006902739,18.32542237,18.4,2.370337178,8.45,24.88,16.43,0.129346933,-0.001333647,16.54389269,16.51,2.888995936,5.97,25.48,19.51,0.174626129,-0.001279036,25.63778539,25.2,8.862953224,2.1,72.5,70.4,0.345698862,0.005467316,289.3884018,291.04,11.27631848,258.39,314.56,56.17,0.038966035,0.000764382,89.96440639,91.21,7.095197825,51.35,100,48.65,0.078866722,-0.006066964,0.637045662,0.5945,0.462267716,0.027,3.919,3.892,0.725642985,7.88E-05,277.2633562,277.665,10.64325095,249.04,297.24,48.2,0.038386793,0.000899935,45.43164384,45.325,10.50641117,14.41,81.23,66.82,0.231257561,-0.000493579,0.006707388,0.0055015,0.004241295,0.000728,0.017198,0.01647,0.632331809,2.27E-08,2.470753425,1.61,2.693145854,0,17.04,17.04,1.090009965,0.000288863,4.317568493,4.415,2.424446065,0.34,16.01,15.67,0.561530424,0.000359156,3.159589041,3.155,1.876913894,0.26,10.98,10.72,0.594037348,0.000233537,177.1655479,182.325,74.28614563,57.6,314.22,256.62,0.419303564,0.005010353,191.9230594,193.65,41.34265261,51.4,311.6,260.2,0.215412639,-0.013487567,4.887089041,4.89,0.817135741,2.7,7.28,4.58,0.167202957,0.000216044,4.836757991,4,2.504027895,0,10,10,0.517707915,0.00213239,4.937785388,5,1.462178936,0,10,10,0.29612039,0.000362064
28,TX,33.658,-94.689,10.6,7.79,6.53333,41,33.33333,66.6667,0,85,0,3.3,3.3,3.3,5,0,100,0,81.639,0.05,13.05916667,0.702305879,26.69,2.74,0,0,0,0,0,0,0,0,0,0,0,2,63,0,0,0,24,0,0,1,0,0,0,1,0,0,0,0,1,0,92,6,24.11381279,23.5,8.69668643,2.3,59,56.7,0.360651653,0.0064258,18.28613014,18.315,2.363238573,8.35,24.76,16.41,0.12923667,-0.001679959,16.51136986,16.5,2.894266367,5.91,25.23,19.32,0.175289294,-0.001542176,25.81381279,25.25,8.873519097,3,73.3,70.3,0.343750812,0.006132319,289.6810046,291.33,11.24655586,258.88,314.7,55.82,0.038823933,0.000957046,90.04808219,91.365,7.109906939,50.76,100,49.24,0.078956784,-0.0065199,0.651773973,0.605,0.470151575,0.024,3.974,3.95,0.721341439,9.84E-05,277.4124658,277.885,10.61390273,249.34,297.56,48.22,0.038260367,0.000959344,44.93988584,44.655,10.44631448,14.44,81.25,66.81,0.232450846,-0.001288878,0.006756361,0.005595,0.004261725,0.00074,0.01747,0.01673,0.630772235,-2.03E-08,2.482694064,1.59,2.73392154,0,16.92,16.92,1.101191476,0.000224974,4.389874429,4.49,2.445608749,0.32,16.25,15.93,0.557102211,0.000449778,3.207671233,3.22,1.891166273,0.25,11.1,10.85,0.589576093,0.000284938,177.8570662,183.17,74.87446898,57.07,315.7,258.63,0.420981132,0.005035233,192.585274,193.9,41.15872217,52.3,309.2,256.9,0.213716871,-0.015086767,4.90609589,4.93,0.821078926,2.7,7.28,4.58,0.167358923,0.000215367,4.688356164,4,2.385487236,1,10,9,0.50881101,0.001495643,4.900114155,5,1.45087361,0,10,10,0.296089757,0.00026963
29,TX,33.791,-95.443,6.9,7.46,7.25,25.41666,0,83.33333,16.66667,76.7,0.8,11.7,8.5,2.5,0,0,100,33.33333,388.817,0.1,140.2225,0.690852041,285.75,37.37,0,0,0,0,157,0,0,0,0,0,0,1,55,0,0,0,8,7,0,0,0,0,0,0,1,1,4,0,119,0,353,9,22.44315068,22.1,7.743558886,4,52.9,48.9,0.345029938,0.004190762,17.89090183,17.94,2.276349213,8.78,24.9,16.12,0.127235018,-0.000861735,16.21956621,16.125,2.852975423,6.13,26.18,20.05,0.175897147,-0.00085774,27.1152968,26.6,8.719731405,2.2,71.5,69.3,0.321579788,0.00351003,290.6238584,292.22,11.23290869,259.43,315.31,55.88,0.03865102,0.000476197,89.59461187,90.785,6.903468171,55.76,100,44.24,0.077052269,-0.004714154,0.715700913,0.6705,0.494999914,0.036,3.971,3.935,0.691629569,5.73E-05,278.1024772,278.46,10.54206028,250.49,296.76,46.27,0.037907107,0.000455531,43.89865297,42.98,11.22816389,13.9,80.62,66.72,0.255774679,-3.34E-05,0.006901175,0.0056395,0.004391773,0.000791,0.019098,0.018307,0.636380555,-9.52E-08,2.380776256,1.405,2.793396337,0,20.76,20.76,1.173313255,0.000428534,4.290251142,4.39,2.389970182,0.31,14.69,14.38,0.557069995,0.000222663,3.192876712,3.165,1.895315889,0.22,10.26,10.04,0.593607602,0.000137722,179.8571461,184.45,76.14815944,58.99,318.34,259.35,0.423381339,0.00418237,180.5303653,181.2,42.36504941,49.2,317.1,267.9,0.234669937,-0.0128229,3.827899543,3.79,0.694988203,1.94,5.94,4,0.181558632,0.000201867,4.519977169,4,2.422285328,0,10,10,0.535906541,0.002528871,4.877283105,5,1.44951493,0,10,10,0.29719721,0.000531589
30,TX,33.857,-95.037,8.4,7.54,2.53333,29.66667,50,16.66667,33.33333,85.8,0,4.6,3.6,3.3,1.7,0,50,50,2.632,0.28,1.106666667,0.657788596,2.16,0.28,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,42,1,0,0,6,2,0,0,0,0,0,0,0,0,57,6,23.32100457,23,8.178868914,3.8,56.8,53,0.350708259,0.005915157,18.5934589,18.585,2.266459235,8.64,24.93,16.29,0.121895514,-0.001307417,16.83170091,16.81,2.854539796,6.03,26.09,20.06,0.169593068,-0.001235976,24.82762557,24.1,8.479955648,2.1,72,69.9,0.341553228,0.004918977,290.0717123,291.81,11.19369088,259.04,314.82,55.78,0.038589392,0.001018558,91.25704338,92.745,6.693950401,53.57,100,46.43,0.073352699,-0.005610156,0.66077968,0.6135,0.471439671,0.029,3.885,3.856,0.713459698,0.000112451,277.5694977,278.055,10.54751638,249.67,296.9,47.23,0.037999551,0.000749089,45.49672374,44.41,11.00704198,14.32,79.19,64.87,0.241930431,-0.001761401,0.006875089,0.0057525,0.004309412,0.000783,0.018333,0.01755,0.626815505,-1.07E-07,2.505216895,1.495,2.815751694,0,14.92,14.92,1.123955255,0.000422096,4.398972603,4.5,2.446326963,0.35,16.12,15.77,0.556113253,0.000499204,3.224760274,3.23,1.899038705,0.23,11.03,10.8,0.588892985,0.000308425,179.36629,183.79,75.01200108,59.18,316.08,256.9,0.418205679,0.005026149,188.3308219,188.85,41.78226295,54,316.2,262.2,0.221855682,-0.011811526,4.761575342,4.765,0.820882854,2.65,7.19,4.54,0.172397325,0.000229299,4.490296804,4,2.378597377,0,10,10,0.529719411,0.00174104,4.867579909,5,1.426726011,0,10,10,0.293107877,0.000415667
31,TX,33.78,-94.927,7.1,7.76,4.44446,19.33333,0,66.66667,33.33333,78.3,0,6.7,6.7,5,3.3,0,50,50,75.652,0.09,31.56416667,0.676958738,64.06,7.12,0,0,0,0,2,0,0,0,0,0,0,8,22,0,0,0,24,12,0,3,0,0,0,0,0,3,2,0,80,0,156,9,23.89063927,23.6,8.405412697,2.2,58.2,56,0.351828706,0.005874779,18.53625571,18.555,2.325740644,8.54,24.73,16.19,0.125469819,-0.001658397,16.7596347,16.69,2.892992534,5.95,25.94,19.99,0.172616682,-0.001602309,25.02648402,24.4,8.664352886,1.9,72.3,70.4,0.346207357,0.00587527,289.8972489,291.605,11.21653135,259.25,314.83,55.58,0.038691403,0.001044299,90.86861872,92.255,6.943868146,52.09,100,47.91,0.07641657,-0.0070919,0.648818493,0.601,0.468436263,0.03,3.942,3.912,0.721983525,0.000121228,277.5390525,277.985,10.57802607,249.59,297.31,47.72,0.038113649,0.001196794,45.56251142,44.87,10.80170145,14.46,79.81,65.35,0.237074321,-0.001770925,0.006872284,0.005726,0.004314199,0.000771,0.01823,0.017459,0.627767887,-7.48E-08,2.543196347,1.61,2.844064004,0,15.13,15.13,1.11830296,0.000380358,4.397374429,4.47,2.456946206,0.31,16.46,16.15,0.558730271,0.000542142,3.217522831,3.22,1.89914945,0.21,11.22,11.01,0.590252051,0.000339647,178.8548858,183.64,74.9342278,57.86,314.18,256.32,0.418966625,0.005165331,190.0399543,190.7,41.51927046,53.7,312.5,258.8,0.218476534,-0.010818977,4.941289954,4.96,0.842085394,2.75,7.4,4.65,0.17041813,0.00023281,4.589041096,4,2.405296381,0,10,10,0.524139211,0.00158606,4.868721461,5,1.460438325,0,10,10,0.299963417,0.000291877
32,TX,33.717,-96.569,6.5,7.71,2.71666,17.33333,33.33333,16.66667,50,59.2,0,24.6,4.2,3.8,8.3,0,83.33333,50,114.669,0.19,26.46833333,0.67181501,58.26,7.71,0,0,0,17,25,0,0,0,0,0,0,13,2,0,0,0,11,0,0,2,0,0,0,0,51,1,0,0,19,0,141,9,26.26255708,25.6,9.049578806,5.3,59.1,53.8,0.344581024,0.005109261,17.10310502,17.22,2.359971063,7.84,23.8,15.96,0.137984948,-0.001096613,15.5681621,15.43,2.931659718,5.56,25.75,20.19,0.188311228,-0.001013202,29.93561644,29.2,9.501811217,4,75.1,71.1,0.317408236,0.004473807,290.6559247,291.97,11.19810245,258.5,314.87,56.37,0.038527006,0.000555014,87.66598174,88.8,7.307173124,52.39,100,47.61,0.083352436,-0.00578741,0.769205479,0.697,0.531469945,0.036,4.032,3.996,0.690933644,5.77E-05,278.1536872,278.315,10.60611354,250.46,297.53,47.07,0.038130408,0.000602809,41.87388128,40.805,11.02466316,11.8,80.41,68.61,0.263282572,0.00048279,0.006676475,0.0054685,0.004191816,0.000772,0.017032,0.01626,0.62784866,5.72E-09,2.143413242,1.225,2.557050173,0,18.86,18.86,1.192980487,0.000312219,4.743276256,4.765,2.628460645,0.31,15.47,15.16,0.554144541,0.000262771,3.440513699,3.38,2.022237918,0.23,10.73,10.5,0.587772087,0.000156303,182.0220662,185.145,75.95283276,62.02,319.91,257.89,0.417272666,0.002573495,185.1044521,183.65,43.33062513,49.5,324,274.5,0.234087428,-0.007896951,4.453573059,4.42,0.717249404,2.51,6.7,4.19,0.161050329,0.000236183,4.59303653,4,2.374274107,0,10,10,0.516929071,0.002399244,4.889269406,5,1.464090384,0.5,10,9.5,0.299449726,0.000576275
33,TX,33.58,-96.619,6.8,7.4,4.4,17,33.33333,16.66666667,50,45,3.3,30.8,9.2,5.8,5.8,0,100,66.66666667,81.949,0.19,18.2275,0.696633247,40.7,5.51,2,0,0,25,47,0,0,0,0,0,0,11,51,0,0,0,15,5,0,2,0,0,0,0,24,0,0,0,12,0,194,10,26.38607306,25.9,9.006505138,5.3,58.4,53.1,0.341335564,0.005214966,17.12468037,17.19,2.375208429,7.65,23.81,16.16,0.138700891,-0.001156991,15.60456621,15.47,2.925893052,5.55,25.97,20.42,0.187502364,-0.001092579,29.91038813,29.4,9.528586854,3.8,73.9,70.1,0.318571154,0.004702506,290.583516,291.825,11.3325073,258.59,315.06,56.47,0.03899914,0.000641626,87.97664384,89.11,7.318203186,52.72,100,47.28,0.083183478,-0.006181866,0.768358447,0.698,0.532655775,0.037,4.05,4.013,0.693238653,6.85E-05,277.8628425,278.065,10.67371511,250.56,297.27,46.71,0.038413611,0.000774161,41.4043379,40.2,10.9375169,11.63,79.11,67.48,0.26416355,0.000139399,0.006595193,0.005366,0.004194458,0.000752,0.016967,0.016215,0.635987144,8.38E-10,2.125376712,1.235,2.538427131,0,19.08,19.08,1.194342215,0.000403332,4.744509132,4.785,2.643197327,0.31,15.55,15.24,0.557106595,0.000312241,3.436015982,3.385,2.029194173,0.23,10.74,10.51,0.590565988,0.000192453,181.4346461,184.695,76.27427804,60.35,321.02,260.67,0.420395331,0.002857421,186.0579909,184.95,43.55168522,49.8,323.8,274,0.234075865,-0.008309054,4.470856164,4.44,0.722738686,2.51,6.79,4.28,0.161655544,0.000247158,4.704908676,4,2.335689179,0,10,10,0.496436666,0.002454681,4.908105023,5,1.471321143,0.5,10,9.5,0.299773769,0.00062247
34,TX,33.671,-96.715,6.5,7.71,3,26.33333,16.66667,66.66667,16.66667,85,0,5,2.9,2.9,3.3,0,33.33333,66.66667,16.123,0.38,3.555833333,0.698739588,8.08,1.08,1,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,158,3,26.94075342,26.3,9.133314696,5.4,59.1,53.7,0.339014821,0.005944363,16.88417808,16.97,2.35930735,7.74,23.72,15.98,0.139734806,-0.001380479,15.39905251,15.29,2.911489191,5.53,25.68,20.15,0.189069372,-0.001334759,30.74817352,30.2,9.566270123,4.2,75.9,71.7,0.311116695,0.005646308,290.88121,292.105,11.32358656,258.99,315.17,56.18,0.03892856,0.000872173,87.29908676,88.42,7.512661038,52.61,100,47.39,0.086056582,-0.00777504,0.794600457,0.7245,0.546721211,0.04,4.084,4.044,0.688045427,0.000102636,278.0833904,278.255,10.69757019,251.11,297.56,46.45,0.038468929,0.001214713,40.81043379,39.69,10.69625176,11.57,76.23,64.66,0.262096007,-0.000112828,0.006620034,0.005415,0.004208868,0.000761,0.016987,0.016226,0.635777375,3.75E-08,2.069474886,1.19,2.536236011,0,20.13,20.13,1.225545682,0.000368985,4.837990868,4.875,2.668014727,0.35,15.65,15.3,0.551471634,0.000417161,3.495913242,3.445,2.047628088,0.24,10.82,10.58,0.58572051,0.000255508,181.9622374,184.225,76.08819742,61.16,320.54,259.38,0.41815378,0.002617392,185.0711187,184.1,43.31160668,49.9,323.3,273.4,0.234026827,-0.008258141,4.46033105,4.43,0.719887742,2.51,6.73,4.22,0.161397828,0.000236537,4.62043379,4,2.296151295,0,10,10,0.496955784,0.002328232,4.888127854,5,1.461662487,0.5,10,9.5,0.299022966,0.000536467
35,OK,34.321,-96.707,9.9,8.28,11.3,37.5,33.33333333,50,16.66666667,25,5,15,9.2,15,35.8,5,66.66666667,16.66666667,192.838,0.18,48.36583333,0.65362334,99.59,12.96,0,0,0,13,0,0,0,0,0,0,32,2,4,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,13,0,69,7,26.79840183,26.2,9.014136397,2.8,57.6,54.8,0.336368432,0.004734973,16.85304795,16.82,2.374461285,8.62,24.38,15.76,0.140892098,-0.000600425,15.32052511,15.24,2.989738836,5.45,25.24,19.79,0.195145977,-0.000510512,30.94828767,30.3,9.500572407,4.5,74,69.5,0.306982167,0.002940768,291.3566667,292.48,11.13933641,259.17,314.92,55.75,0.038232646,0.000576248,87.14199772,88.045,7.477994536,52.02,100,47.98,0.085813898,-0.003325381,0.829739726,0.753,0.57060983,0.029,4.077,4.048,0.687697373,2.78E-05,278.216484,278.405,10.50253699,250.43,297.43,47,0.037749514,0.000165151,39.9619863,38.38,10.84016395,10.53,83.96,73.43,0.27126189,0.000451029,0.006620654,0.005473,0.004071194,0.000803,0.016649,0.015846,0.614923201,6.88E-08,2.131563927,1.295,2.379118193,0,13.7,13.7,1.116137388,0.000135136,4.962956621,4.985,2.714173698,0.3,15.64,15.34,0.546886444,0.000125872,3.577899543,3.535,2.068248254,0.22,10.75,10.53,0.578062136,7.86E-05,184.4408676,188.675,74.11923536,67.52,316.98,249.46,0.401859069,0.002293963,180.131621,178.75,42.81210693,50.6,320.7,270.1,0.237671247,-0.005554826,4.419543379,4.375,0.70833187,2.63,6.64,4.01,0.160272637,0.000160801,4.345890411,4,2.177928723,0,10,10,0.50114672,0.000669539,4.823630137,5,1.349150272,0,10,10,0.279696045,0.000139236
36,OK,34.36,-96.788,11.9,8.52,7.83333,38,50,33.33333333,16.66666667,16.7,1.7,38.3,9.2,8.3,35.8,0,100,66.66666667,32.871,0.41,7.959166667,0.66163245,16.5,2.21,0,0,0,3,0,0,0,0,0,0,37,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,0,70,4,27.05616438,26.55,9.134543343,5.5,58,52.5,0.337614128,0.005623007,16.74731735,16.73,2.353585479,8.64,24.25,15.61,0.140535074,-0.000840195,15.23833333,15.15,2.955758208,5.47,25.02,19.55,0.193968602,-0.00064367,31.27785388,30.5,9.464502918,4.5,74,69.5,0.302594384,0.003828047,291.4168493,292.455,11.08117134,259.15,314.82,55.67,0.038025157,0.000501436,86.85100457,87.725,7.536843546,52.02,100,47.98,0.086779003,-0.003976167,0.830697489,0.7525,0.566598181,0.03,4.058,4.028,0.68207523,2.68E-05,278.3331507,278.48,10.47602612,250.58,297.48,46.9,0.037638442,0.000298453,39.9215411,38.48,10.71679673,10.53,83.84,73.31,0.268446469,0.000628881,0.006660604,0.005473,0.004103876,0.000812,0.016771,0.015959,0.616141671,7.01E-08,2.099326484,1.215,2.362168172,0,15.18,15.18,1.125202864,2.25E-05,4.975593607,4.96,2.694690914,0.29,15.71,15.42,0.541581794,0.000121294,3.587694064,3.56,2.056748537,0.22,10.8,10.58,0.573278686,7.28E-05,184.5813699,188.15,74.05498945,68.12,317.11,248.99,0.401205114,0.002204857,180.1275114,179.6,42.78889172,50.8,319.7,268.9,0.237547787,-0.005479605,4.427956621,4.395,0.711151907,2.64,6.64,4,0.160604985,0.00015765,4.346461187,4,2.165946235,0,10,10,0.498324071,0.000480159,4.819634703,5,1.358426384,0,10,10,0.281852561,9.50E-05
37,OK,34.085386,-96.731884,15.7,9.6,6.6,21.5,33.33333,16.66667,50,5.8,10.8,16.7,8.3,13.3,0,45,100,16.6666667,50.378,0.33,11.93416667,0.6580741,25.3,2.71,0,0,0,0,17,0,0,0,0,0,32,5,11,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,83,5,27.24394977,26.35,9.343893932,2.8,60.1,57.3,0.342971339,0.003513418,16.755,16.72,2.432789026,8.34,23.98,15.64,0.145197793,-0.000702755,15.22772831,15.11,3.019573169,5.45,24.97,19.52,0.198294395,-0.000669264,31.36700913,30.75,9.817904654,4.9,75.5,70.6,0.313000982,0.002992656,291.0515868,292.21,11.13611519,258.88,315,56.12,0.038261654,0.000611315,86.68006849,87.42,7.53130441,51.8,100,48.2,0.08688623,-0.004557025,0.819850457,0.738,0.56516995,0.033,4.085,4.052,0.689357364,4.38E-05,277.98871,278.12,10.5161941,249.73,297.18,47.45,0.037829573,0.000428523,39.85563927,38.285,10.84917472,10.63,82.26,71.63,0.272211785,0.000437758,0.00650361,0.005345,0.004011241,0.000777,0.016483,0.015706,0.616771528,5.69E-08,2.090821918,1.25,2.400052703,0,16.45,16.45,1.14789915,0.000177796,4.924703196,4.935,2.700456164,0.31,15.53,15.22,0.548349019,0.000182899,3.548778539,3.505,2.059251369,0.21,10.71,10.5,0.580270464,0.000110286,183.8030822,187.66,74.79350797,66.3,317.02,250.72,0.406921946,0.002290194,181.5913242,180.35,42.96734337,50.2,321.2,271,0.236615618,-0.007320973,4.424531963,4.39,0.706731098,2.67,6.61,3.94,0.159730137,0.000177177,4.506849315,4,2.185845631,0,10,10,0.485005262,0.001241405,4.874429224,5,1.402536521,0.5,10,9.5,0.287733488,0.000360069
38,OK,34.061,-94.476,8.2,7.36,20.39166,38.25,0,66.66666667,33.33333333,5,0,38.3,39.2,16.7,0.8,0,50,16.6666667,136.115,0.22,79.60666667,0.60456268,137.7,15.87,0,0,0,31,0,0,0,0,0,0,31,0,1,0,0,0,15,0,0,0,0,0,3,0,2,0,0,0,0,0,83,6,23.26872146,23,8.186882743,0.2,60.8,60.6,0.351840678,0.00504492,17.94834475,18.08,2.390672967,8.61,26.12,17.51,0.133197406,-0.001564893,16.16440639,16.085,2.857395194,6.29,25.32,19.03,0.176770809,-0.001463983,26.90228311,26.15,8.990290008,2.5,72.2,69.7,0.334183161,0.005616471,290.2381164,291.885,11.09267851,259.6,315.25,55.65,0.038219234,0.000947185,88.58432648,89.76,7.501566146,50.99,100,49.01,0.08468277,-0.007019295,0.679559361,0.638,0.483871815,0.021,4.1,4.079,0.712037599,8.85E-05,278.111016,278.53,10.50651555,250.62,297.41,46.79,0.037778135,0.001091861,45.07901826,45.12,10.23616939,13.83,82.35,68.52,0.227071702,-0.000552153,0.006895696,0.0057065,0.004317449,0.000783,0.017678,0.016895,0.626107824,5.81E-08,2.551461187,1.575,2.929467421,0,25.41,25.41,1.148152845,0.000480846,4.302796804,4.465,2.35304084,0.3,16.3,16,0.54686311,0.00038555,3.183299087,3.175,1.854608897,0.23,11.12,10.89,0.582605921,0.000251458,179.161153,182.97,74.26061984,57.38,315.27,257.89,0.414490634,0.005768149,185.7681507,186.9,40.96158298,49.7,304.1,254.4,0.220498416,-0.009956218,4.294429224,4.3,0.738343987,2.37,6.47,4.1,0.171930645,0.00020879,4.858447489,4,2.559775668,0,10,10,0.52687112,0.002494922,4.950342466,5,1.448936745,1,10,9,0.292694244,0.000477482
